,APContact,BAddr1,BAddr2,BCity,BState,BZIPCode,Phone,Website,CustName,CustCode,CustCode_ID,PreviousModDate,RowNum_Of_Source_File,LoadedByPython,LoadDate,Source_File,LoadForCompany
59,,450 E Pima Street 2,,Phoenix,AZ,85004,602.606.7658,,Denali Metalworks,DENALI,SCC_4954,,60,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
60,Jane Cook,42554 Sante Fe Drive,,Kingman,AZ,86401,602-281-1608,www.laron.com,Laron Inc - PHX,LARON,SCC_4955,2023-05-22,61,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
61,,223 Foster Street,,Martinez,CA,94533,(925) 229-0732,www.bajacarports.com,Baja Construction,BAJA CONSTRU,SCC_4956,2019-12-04,62,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
62,,3530 E Atlanta Ave,,Phoenix,AZ,85040,602.595.7801 X207,,Tru Metal Solutions,TRU MET SOLU,SCC_4957,2019-12-11,63,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
63,Brien Higgins,1001 S Edward Drive,,Tempe,AZ,85281,480-967-5810,,SDB Contracting Services,SDB CONTRACT,SCC_4958,2023-05-22,64,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
64,,411 East Frye Rd,,Chandler,AZ,85225,888.965.3227,,Old Castle Infrastructure,OLD CASTLE I,SCC_4959,,65,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
65,,,,,,,,,City of Sedona,SEDONA CITY,SCC_4960,,66,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
66,Accounts Payable,4415 W. Magnolia St.,,Phoenix,AZ,85043,602-272-9393,,Rimex,RIMEX,SCC_4961,2023-05-22,67,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
67,Virginia Parish,2605| I-27,,Lubbock,TX,79404,806-747-3411,,Simflo Pump,SIMFLO,SCC_4962,2023-05-22,68,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
68,,735 N 19th AvenuePhoenix  AZ  85009,,Phoenix,AZ,85009,602-257-1200,,Smith Pipe and Steel,SMITH PIPE,SCC_4963,2023-05-22,69,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
69,,3637 E. Anne St.,,,,,602-437-0276,,MetalFab AZ,METALFAB AZ,SCC_4964,,70,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
70,Ron Ruff,3883 W. Lower Buckeye Rd.,,Phoenix,AZ,85009,602.278.5581,,R.J. Ruff & CO.,RJ RUFF & CO,SCC_4965,2023-05-22,71,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
71,1st Time invoice Submission,100 s Roosevelt Avenue,,Chandler,AZ,85226,480-961-8295,,Rogers Corporation,ROGERS,SCC_4966,2023-05-22,72,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
72,Invoices payment,2122 S Hardy Drive,,Tempe,AZ,85282,480-627-8216,www.schreiberfoods.com,Schreiber Foods,SCHRIEBER,SCC_4967,2023-05-22,73,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
73,Accounts Payable,2160 Superstition Blvd,,Apache Junction,AZ,85120,602-999-1188,,Transco Inc,TRANSCO,SCC_4968,2023-05-22,74,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
74,Antonia,4205 W. Lower Buckeye Rd,,Phoenix,AZ,85009,602-455-4310,,S Diamond Steel,S DIAMOND ST,SCC_4969,2023-05-22,75,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
75,Jill Bagwell,3620 S 40th Street,,Phoenix,AZ,85040,480-993-3302,,Phoenix Tower Crane,PHOENIX TOW,SCC_4971,2023-05-22,76,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
76,,2 N. Central AvenueSuite 1600,,Phoenix,AZ,85004,602.567.4000,,Brown and Caldwell,BROWN AND CA,SCC_4972,,77,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
77,Kim Rivera,1881 East University Drive,,Phoenix,AZ,85034,602-437-3015,,Keller Electrical Ind,KELLER ELEC,SCC_4973,2023-05-22,78,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
78,Tommy Pena,2275 E Ganley Road,,Tucson,AZ,85706,520-294-3126,,Caid Industries Inc,CAID IND,SCC_4974,,79,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
79,Ron Alderfer,14815 S 14th Place,,Phoenix,AZ,85048,480-560-6443,,Alderfer Designs,ALDERFER DES,SCC_4975,2023-05-22,80,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
80,,4248 N Craftsman Ct Suite 100,,Scottsdale,AZ,85251,480-459-2010,www.nittibldrs.com,Nitti Builders,NITTI BUILD,SCC_4976,2020-09-03,81,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
81,,3335 W Vernon Ave,,Phoenix,AZ,85009,,,Associated Sign Company,ASSOC SIGN,SCC_4977,,82,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
82,Johanna Gow,5002 S 36th Street,,Phoenix,AZ,85040,602-454-0714,,Paragon Power LLC,PARAGON POW,SCC_4978,2023-05-22,83,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
83,,4141 S 36th St Ste 170,,,,,,,P3 Construction,P3 CONSTRUCT,SCC_4979,2020-05-11,84,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
84,,,,,,,,,robert doenges,DOENGES,SCC_4980,2023-05-22,85,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
85,Dianne Positeri,204 S 69th Avenue,,Phoenix,AZ,85043,,,Pacific Tek,PACIFIC TEK,SCC_4981,2023-05-22,86,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
86,,,,,,,,,Todd Whiteley,PKC,SCC_4982,2020-06-04,87,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
87,,,,Phoenix,AZ,85034,,,custom pipe Fabrication,MARYKAY,SCC_4983,2020-06-04,88,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
88,David Svancara,3120 W Weldon Ave,,Phoenix,AZ,85017,,,Coin and Professional Equipment Co,COIN AND PRO,SCC_4984,2020-06-17,89,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
89,Connie V. Peña,4640 E Cotton Gin Loop,,Phoenix,AZ,85040,602-296-1496,,Haydon Building Corp,HAYDON BUILD,SCC_4985,2023-05-22,90,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
90,,15230 N 75th St Ste 2010,,Scottsdale,AZ,85260,1-855-422-3353,,Bad Elf,BAD ELF,SCC_4986,,91,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
91,AP,4050 W Saturn Way,,Chandler,AZ,85226,480-626-5257,www.cpepumps.com,Capital Pump & Equipment,CAPITAL PUMP,SCC_4987,2023-05-22,92,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
92,AP,2610 S. 21st Street,,Phoenix,AZ,85034,602-257-9708,,Super Radiator Coils,SUPER RADIAT,SCC_4988,2023-05-22,93,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
93,Accounts Payable,1155 S Neenah Ave 1937,,Sturgeon Bay,WI,54235,920-743-6568,https://www.ttxinc.com/,Therma-Tron-X| Inc.,THERMA-TRON,SCC_4989,2023-05-22,94,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
94,,4110 E. Elwood Street,,Phoenix,AZ,85040,6024375000,,MGC Contractors,MGC CONTRACT,SCC_4990,,95,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
95,,12211 S Gilbert Rd,,Gilbert,AZ,85296,480-688-6453,,Campbell Enterprises,SHANE,SCC_4991,2023-05-22,96,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
96,,,,,,,607-345-9255,,Design Bits,DESIGN BITS,SCC_4992,,97,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
97,Casey Horn,100 S Price Rd,,Tempe,AZ,85281,480-423-7638,,Nesbitt Contracting Co,NESBITT CONT,SCC_4993,2023-05-22,98,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
98,Dan Reardon,55 E Vía Del Cielo,,Wickenburg,AZ,85930,602-448-9534,,Dan Reardon,DAN REARDON,SCC_4994,2023-05-22,99,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
99,Anna Tuura,7117 E. Orange Blossom Ln,,Paradise Valley,AZ,85251,480-398-5054,,Alloy Builders Corporation,ALLOY BUILDE,SCC_4995,2023-05-22,100,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
100,A/P,P.O Box 6339,,Phoenix,AZ,85005,602-442-1110,,Southwest Waterworks DBA Pumpman Waterworks,SOUTHWEST WA,SCC_4996,2023-05-22,101,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
101,,,,,,,602-617-8721,,BRIAN,BRIAN,SCC_4997,2023-05-22,102,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
102,Lisa Carlson,5128 E Ingram St,,Mesa,AZ,85205,480-844-0996,,Bold Framing,BOLD FRAMING,SCC_4998,2023-05-22,103,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
103,,6029 W Washington St,,Phoenix,AZ,85043,,,Phoenix Stair,PHOENIX STAI,SCC_4999,,104,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
104,Accounts Payable,13A Talbot Ave,,Braddock,PA,15104,412-315-7963,,Phillips Tank & Structure,PHILLIPS TAN,SCC_5000,2023-05-22,105,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
105,Megan Ambroziak,3625 E Atlanta Ave| Suite 2,,Phoenix,AZ,85040,602-499-3584,,Construction Product  Marketing| LLC,CONSTRUCTION,SCC_5001,2023-05-22,106,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
106,,840 North Estrella Parkway,,Goodyear,AZ,85338,,,3 Minute Express Car Wash,3 MINUTE EXP,SCC_5002,,107,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
107,Scott Holt,5155 E Eagle Dr.Unit 20561,,Mesa,AZ,85277,480-277-4946,,Arizona Pure Custom,ARIZONA PURE,SCC_5003,2023-05-22,108,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
108,,PO Box 8096,,Phoenix,AZ,85066,602-276-9508,,Moreno Welding,MORENO WELDI,SCC_5004,,109,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
109,,,,,,,,,Levi Gomez,LEVI GOMEZ,SCC_5005,,110,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
110,,777 Terrace Avenue|Suite 101,,Hasbrouck Heights,NJ,07604,(201) 242-9906,wtecenergy.com,WTEC Energy Innovation,WTEC ENERGY,SCC_5006,2021-04-28,111,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
111,Susan Almanza,9304 E. Verde Grove View| Ste. 100,,Scottsdale,AZ,85255,602-331-0888,,SouthWest Environmental| Inc.,SOUTHWEST EN,SCC_5007,2023-05-22,112,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
112,,3045 S 51st Ave,,Phoenix,AZ,85043,602.309.4775,,MP Environmental Services| Inc.,MPE,SCC_5008,2023-05-19,113,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
113,,731 N 19th Ave,,Phoenix,AZ,85009,602-253-7875,,Standard Coating Company,STANDARD COA,SCC_5009,2022-12-21,114,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
114,"Kevin""Cole"" Bigelow",3888 E Broadway Road,,Phoenix,AZ,85040,720-287-9639,kiewit.com,Kiewit Infrastructure Phoenix,KIEWIT,SCC_5010,2023-05-22,115,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
115,Dan Reardon,55 E Via Del Cielo Wickerberg,,Wickerberg,AZ,,602-448-9534,,Horner Residence,HORNER RES,SCC_5011,2023-05-22,116,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
116,,1002 East Main Street,,El Centro,CA,92243,760-337-0020,,EW Corporation Industrial Fabricators and Construc,EW CORP,SCC_5012,,117,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
117,,1870 Cordell Court Suite 201,,El Cajon,CA,92020,619-443-3891,,Keller North America,KELLER NORTH,SCC_5013,2021-05-20,118,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
118,,4141 E. Raymond St. Suite E,,Phoenix,AZ,85040,602-429-0469,,Archer Douglas,ARCHER DOUGL,SCC_5014,,119,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
119,Accounts Payable,701 N Cooper Rd,,Gilbert,AZ,85233,480-356-9387,https://www.huntercontracting.com,Hunter Contracting Co,HUNTER,SCC_5015,2023-05-22,120,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
120,Su Heus,5555 S Packard Ave,,Cudahy,WI,53110,414-744-0111,,Vilter Manufacturing,VILTER MANUF,SCC_5016,2021-06-28,121,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
121,,,,,,,602-617-8293,,Victor Vidales,CAR WASH,SCC_5017,2021-08-13,122,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
122,Accounts Payable,,,,,,602-527-0432,,Williamson Development,WILLIAMSON,SCC_5018,2023-05-22,123,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
123,,,,,,,602-792-0013,,Red point Contracting,RED POINT,SCC_5019,,124,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
124,Accounts Payable,5555 S Packard Ave,,Cudahy,WI,53110,636-897-2000,,Emerson Climate Technologies,EMERSON CLIM,SCC_5020,2023-05-22,125,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
125,AP,6875 W. Galveston St.,,Chandler,AZ,85226,480-940-8400,,Comfort Systems USA Southwest,COMFORT SYST,SCC_5021,2023-05-22,126,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
126,Accounts Payable,9895 Double R Blvd.,,Reno,NV,89521,602-268-0228,,Jensen Precast,JENSEN PRECA,SCC_5022,2023-05-22,127,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
127,Accounts Payable,280 E. Germann Rd.,,Gilbert,AZ,85297,480-495-9874,,Silent-Aire USA Inc.,SILENT-AIRE,SCC_5025,2023-05-22,128,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
128,Clyde Mitchell,PO Box 561,,Safford,AZ,85546,928-965-8393,,Allied Machine Works,ALLIED MACHI,SCC_5026,2023-05-22,129,Y,2023-05-23 06:00:12.537,SCC_Customer.csv,STANDARD
