,QUOTE_TO,Addr1,Addr2,City,st,Zip,QuoteNo,DateENT,E2_Customer_Key,QuotedBy,ShipVia,ContactName,InqNum,TermsCode,Phone,FAX,Total,E2_Quote_Key,RecordTypeId,Name,StageName,CloseDate,RowNum_Of_Source_File,LoadedByPython,LoadDate,Source_File,PreviousModDate,LoadForCompany
16,FPF Industries,"3618 E. LA SALLE STREET
",,Phoenix,AZ,85040,SCC_14316,2018-08-27,SCC_4894,956,,Blake Ebner,"2"" OD/ID",,602-437-0006,602-437-0044,Formula for Total??,SCC_14316, ,FPF Industries - 14316,Quote,2018-12-25,17,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2018-08-28,DESERT
17,MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_14317,2018-08-28,SCC_4898,956,,Dusty Pinckard-,Green Water Area 7 EPEB,DUE ON RECEI,480-964-9041,480-964-9707,Formula for Total??,SCC_14317, ,MILLING MACHINE (MMI) - 14317,Quote,2018-12-26,18,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2018-08-29,DESERT
18,MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_14318,2018-08-29,SCC_4898,956,,Dusty Pinckard-,Green Water Area 05 PSPS,DUE ON RECEI,480-964-9041,480-964-9707,Formula for Total??,SCC_14318, ,MILLING MACHINE (MMI) - 14318,Quote,2018-12-27,19,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2018-08-29,DESERT
19,MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_14319,2018-08-29,SCC_4898,956,,Dusty Pinckard-,Green Water Area 12 Digester,DUE ON RECEI,480-964-9041,480-964-9707,Formula for Total??,SCC_14319, ,MILLING MACHINE (MMI) - 14319,Quote,2018-12-27,20,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2018-09-17,DESERT
20,PCL Construction,"
",,,  ,,SCC_14320,2018-09-07,SCC_4904,956,,Maria Alvarado@pcl.com,SG2500 Lining,DUE ON RECEI,602-799-3597,,Formula for Total??,SCC_14320, ,PCL Construction - 14320,Quote,2019-01-05,21,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2018-10-08,DESERT
21,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_14321,2018-09-10,SCC_4893,956,,Damian Budka,GreenField Phase II N140,NET 30,602-497-4997,,Formula for Total??,SCC_14321, ,Professional Piping Systems - 14321,Quote,2019-01-08,22,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,,DESERT
22,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_14322,2018-09-10,SCC_4893,956,,Damian Budka,GreenField Phase II N140,NET 30,602-497-4997,,Formula for Total??,SCC_14322, ,Professional Piping Systems - 14322,Quote,2019-01-08,23,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,,DESERT
23,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_14323,2018-09-11,SCC_4893,956,,Tommy Thomas,GreenField Phase II N140,NET 30,602-497-4997,,Formula for Total??,SCC_14323, ,Professional Piping Systems - 14323,Quote,2019-01-09,24,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2018-09-12,DESERT
24,Schuff Steel,"4320 E. Presidio St. Suite 111
",,Mesa,AZ,85215,SCC_14324,2018-09-17,SCC_4907,956,,,Green Water Area 11 SHB,DUE ON RECEI,602-416-7739,602-744-0311,Formula for Total??,SCC_14324, ,Schuff Steel - 14324,Quote,2019-01-15,25,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2019-03-18,DESERT
25,Schuff Steel,"4320 E. Presidio St. Suite 111
",,Mesa,AZ,85215,SCC_14325,2018-09-17,SCC_4907,956,,,Green Water Area 10 EPEB,DUE ON RECEI,602-416-7739,602-744-0311,Formula for Total??,SCC_14325, ,Schuff Steel - 14325,Quote,2019-01-15,26,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2019-03-18,DESERT
26,Schuff Steel,"4320 E. Presidio St. Suite 111
",,Mesa,AZ,85215,SCC_14326,2018-09-17,SCC_4907,956,,,Green Water Area 7 RAS/SCUM,DUE ON RECEI,602-416-7739,602-744-0311,Formula for Total??,SCC_14326, ,Schuff Steel - 14326,Quote,2019-01-15,27,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2019-03-18,DESERT
27,Schuff Steel,"4320 E. Presidio St. Suite 111
",,Mesa,AZ,85215,SCC_14327,2018-09-17,SCC_4907,956,,,Green Water Area 05 PSPS,DUE ON RECEI,602-416-7739,602-744-0311,Formula for Total??,SCC_14327, ,Schuff Steel - 14327,Quote,2019-01-15,28,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2019-03-18,DESERT
28,Schuff Steel,"4320 E. Presidio St. Suite 111
",,Mesa,AZ,85215,SCC_14328,2018-09-17,SCC_4907,956,,,Green Water Area 12 Digester,DUE ON RECEI,602-416-7739,602-744-0311,Formula for Total??,SCC_14328, ,Schuff Steel - 14328,Quote,2019-01-15,29,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2019-03-18,DESERT
29,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_14329,2018-09-18,SCC_4893,956,,Tommy Thomas,SilverBell,NET 30,602-497-4997,,Formula for Total??,SCC_14329, ,Professional Piping Systems - 14329,Quote,2019-01-16,30,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2019-03-18,DESERT
30,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_14330,2018-09-21,SCC_4893,956,,Eric Johnson,City of Surprise,NET 30,602-497-4997,602-497-4907,Formula for Total??,SCC_14330, ,Professional Piping Systems - 14330,Quote,2019-01-19,31,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,,DESERT
31,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_14331,2018-09-21,SCC_4893,956,,Jamie Scallion,Mel Leong,NET 30,602-497-4997,,Formula for Total??,SCC_14331, ,Professional Piping Systems - 14331,Quote,2019-01-19,32,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2019-04-25,DESERT
32,Currier Construction,"36N 56th st
",,Phoenix,AZ,85034,SCC_14332,2018-09-25,SCC_4890,956,,Jim Tackett,Promenade PRV,DUE ON RECEI,,,Formula for Total??,SCC_14332, ,Currier Construction - 14332,Quote,2019-01-23,33,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2018-09-26,DESERT
33,FPF Industries,"3618 E. LA SALLE STREET
",,Phoenix,AZ,85040,SCC_14333,2018-09-26,SCC_4894,956,,Toni Bingham,Freeport Miama,DUE ON RECEI,602-437-0006,,Formula for Total??,SCC_14333, ,FPF Industries - 14333,Quote,2019-01-24,34,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2018-10-08,DESERT
34,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_14334,2018-10-02,SCC_4893,956,,Jamie Scallion,,NET 30,602-497-4997,,Formula for Total??,SCC_14334, ,Professional Piping Systems - 14334,Quote,2019-01-30,35,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2019-04-25,DESERT
35,Layne,"1138 N Alma School Road
#207",#207,Mesa,AZ,85201,SCC_14335,2018-10-05,SCC_4910,956,,Koen Black,City of Surprise,DUE ON RECEI,602-345-8600,,Formula for Total??,SCC_14335, ,Layne - 14335,Quote,2019-02-02,36,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,,DESERT
36,PCL Construction,"
",,,  ,,SCC_14336,2018-10-08,SCC_4904,956,,Maria Alvarado@pcl.com,SG2500 Lining,DUE ON RECEI,602-799-3597,,Formula for Total??,SCC_14336, ,PCL Construction - 14336,Quote,2019-02-05,37,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,,DESERT
37,PCL Construction,"
",,,  ,,SCC_14337,2018-10-08,SCC_4904,956,,Maria Alvarado@pcl.com,SG2500 Lining and Primer,DUE ON RECEI,602-799-3597,,Formula for Total??,SCC_14337, ,PCL Construction - 14337,Quote,2019-02-05,38,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2018-10-08,DESERT
38,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_14338,2018-10-15,SCC_4893,956,,Jamie Scallion,Tank TR-840A,NET 30,602-497-4997,,Formula for Total??,SCC_14338, ,Professional Piping Systems - 14338,Quote,2019-02-12,39,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2019-04-25,DESERT
39,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_14339,2018-10-15,SCC_4893,956,,Jeff,Nucor Pipes,NET 30,602-497-4997,,Formula for Total??,SCC_14339, ,Professional Piping Systems - 14339,Quote,2019-02-12,40,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,,DESERT
40,Hennesy Mechanical Systems,"201 S. 26th Street
",,Phoenix,AZ,85034,SCC_14341,2018-10-18,SCC_4911,956,,Mike Hennesy,Pump Station 3SE-B1 & 2S-B3,,602-757-6108,,Formula for Total??,SCC_14341, ,Hennesy Mechanical Systems - 14341,Quote,2019-02-15,41,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2018-10-24,DESERT
41,Pioneer Equipment Inc,"3738 E Miami Ave
",,Phoenix,AZ,85040,SCC_14342,2018-10-25,SCC_4895,956,,Eric,Pump Station 3SE-B1 & 2S-B3,NET 30,602-437-4312,602437-0174,Formula for Total??,SCC_14342, ,Pioneer Equipment Inc - 14342,Quote,2019-02-22,42,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2018-10-25,DESERT
42,Alstate Steel,"5343 Mohave Street
",,Phoenix,AZ,85043,SCC_14343,2018-11-01,SCC_4912,956,,John Gray,Apple Carport,,602-699-6500,,Formula for Total??,SCC_14343, ,Alstate Steel - 14343,Quote,2019-03-01,43,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2020-04-29,DESERT
43,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_14345,2018-11-01,SCC_4893,956,,Jamie Scallion,Water Tank Bar Rust,NET 30,602-497-4997,,Formula for Total??,SCC_14345, ,Professional Piping Systems - 14345,Quote,2019-03-01,44,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2019-04-25,DESERT
44,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_14346,2018-11-05,SCC_4893,956,,Tommy Thomas,Santa Cruz #23,NET 30,602-497-4997,,Formula for Total??,SCC_14346, ,Professional Piping Systems - 14346,Quote,2019-03-05,45,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,,DESERT
45,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_14347,2018-11-05,SCC_4893,956,,Tommy Thomas,COP BPS,NET 30,602-497-4997,,Formula for Total??,SCC_14347, ,Professional Piping Systems - 14347,Quote,2019-03-05,46,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2018-11-06,DESERT
46,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_14348,2018-11-06,SCC_4893,956,,Jamie Scallion,MSU Tanks,NET 30,602-497-4997,,Formula for Total??,SCC_14348, ,Professional Piping Systems - 14348,Quote,2019-03-06,47,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2019-04-25,DESERT
47,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_14349,2018-11-08,SCC_4893,956,,Tommy Thomas,Currier Scottsdale Water,NET 30,602-497-4997,,Formula for Total??,SCC_14349, ,Professional Piping Systems - 14349,Quote,2019-03-08,48,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2019-02-07,DESERT
48,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_14351,2018-11-16,SCC_4893,956,,Damian Budka,Pepsi Walkway,NET 30,602-497-4997,,Formula for Total??,SCC_14351, ,Professional Piping Systems - 14351,Quote,2019-03-16,49,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2018-11-16,DESERT
49,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_14352,2018-11-26,SCC_4893,956,,Jamie Scallion,Camarillo Tank,NET 30,602-497-4997,,Formula for Total??,SCC_14352, ,Professional Piping Systems - 14352,Quote,2019-03-26,50,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2019-04-25,DESERT
50,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_14353,2018-11-27,SCC_4893,956,,Jeff,24th Street WTP,NET 30,602-497-4997,,Formula for Total??,SCC_14353, ,Professional Piping Systems - 14353,Quote,2019-03-27,51,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2018-11-27,DESERT
51,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_14354,2018-12-10,SCC_4893,956,,Jeff,,NET 30,602-497-4997,,Formula for Total??,SCC_14354, ,Professional Piping Systems - 14354,Quote,2019-04-09,52,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2018-12-10,DESERT
52,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_14356,2018-12-11,SCC_4893,956,,Tommy Thomas,Santa Cruz,NET 30,602-497-4997,,Formula for Total??,SCC_14356, ,Professional Piping Systems - 14356,Quote,2019-04-10,53,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2019-01-03,DESERT
53,JV Driver Fabricators,"1945 W Broadway Rd
",,Phoenix,AZ,85041,SCC_14357,2018-12-21,SCC_4920,956,,Laremy Janecek,Raiders LVS Catwalks,DUE ON RECEI,602-718-3291,,Formula for Total??,SCC_14357, ,JV Driver Fabricators - 14357,Quote,2019-04-20,54,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,,DESERT
54,Alstate Steel,"5343 Mohave Street
",,Phoenix,AZ,85043,SCC_14358,2018-12-28,SCC_4912,956,,Chris Wallis,,,,,Formula for Total??,SCC_14358, ,Alstate Steel - 14358,Quote,2019-04-27,55,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2020-04-29,DESERT
55,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_14359,2019-01-03,SCC_4893,956,,Jeff Baker,Horse Mesa Dam,NET 30,602-497-4997,,Formula for Total??,SCC_14359, ,Professional Piping Systems - 14359,Quote,2019-05-03,56,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2019-03-08,DESERT
56,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_14360,2019-01-04,SCC_4893,956,,Tommy Thomas,Santa Cruz,NET 30,602-497-4997,,Formula for Total??,SCC_14360, ,Professional Piping Systems - 14360,Quote,2019-05-04,57,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2019-01-30,DESERT
57,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_14361,2019-01-08,SCC_4893,956,,Eric Johnson,,NET 30,602-497-4997,602-497-4907,Formula for Total??,SCC_14361, ,Professional Piping Systems - 14361,Quote,2019-05-08,58,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,,DESERT
58,Currier Construction,"36N 56th st
",,Phoenix,AZ,85034,SCC_14362,2019-01-09,SCC_4890,956,,Kody Koebensky,"Well #85 ""Yard Pipe/VZ Vault""",DUE ON RECEI,,,Formula for Total??,SCC_14362, ,Currier Construction - 14362,Quote,2019-05-09,59,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2019-01-09,DESERT
59,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_14363,2019-01-09,SCC_4893,956,,Jamie Scallion,Mel Leong,NET 30,602-497-4997,,Formula for Total??,SCC_14363, ,Professional Piping Systems - 14363,Quote,2019-05-09,60,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2019-04-25,DESERT
60,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_14364,2019-01-09,SCC_4893,956,,Jamie Scallion,Mel Leong w/ Urethane,NET 30,602-497-4997,,Formula for Total??,SCC_14364, ,Professional Piping Systems - 14364,Quote,2019-05-09,61,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2019-04-25,DESERT
61,National Pump Company,"7706 N 71st Ave
",,Glendale,AZ,85303,SCC_14365,2019-01-11,SCC_4917,956,,Anthony Renteria,,NET 30,623-979-3560,,Formula for Total??,SCC_14365, ,National Pump Company - 14365,Quote,2019-05-11,62,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,,DESERT
62,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_14366,2019-01-15,SCC_4893,956,,Damian Budka,Adero Canyon,NET 30,602-497-4997,,Formula for Total??,SCC_14366, ,Professional Piping Systems - 14366,Quote,2019-05-15,63,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,,DESERT
63,Schuff Steel,"4320 E. Presidio St. Suite 111
",,Mesa,AZ,85215,SCC_14367,2019-01-16,SCC_4907,956,,,Truss,,602-416-7739,602-744-0311,Formula for Total??,SCC_14367, ,Schuff Steel - 14367,Quote,2019-05-16,64,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2019-03-18,DESERT
64,"James, Cooke and Hobson, Inc.","3501 E. Broadway Rd
",,Phoenix,AZ,85040,SCC_14368,2019-01-21,SCC_4923,956,,Eric Loring,"20"" Pump Can",,602-243-0585,,Formula for Total??,SCC_14368, ,"James, Cooke and Hobson, Inc. - 14368",Quote,2019-05-21,65,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2019-01-21,DESERT
65,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_14369,2019-01-23,SCC_4893,956,,Tommy Thomas,,NET 30,602-497-4997,,Formula for Total??,SCC_14369, ,Professional Piping Systems - 14369,Quote,2019-05-23,66,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,,DESERT
66,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_14370,2019-01-24,SCC_4893,956,,Tommy Thomas,,NET 30,602-497-4997,,Formula for Total??,SCC_14370, ,Professional Piping Systems - 14370,Quote,2019-05-24,67,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2019-01-24,DESERT
67,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_14372,2019-01-31,SCC_4893,956,,Jamie Scallion,,NET 30,602-497-4997,,Formula for Total??,SCC_14372, ,Professional Piping Systems - 14372,Quote,2019-05-31,68,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2019-04-25,DESERT
68,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_14373,2019-02-05,SCC_4893,956,,Damian Budka,Spool Coating OD/ID Only,NET 30,602-497-4997,,Formula for Total??,SCC_14373, ,Professional Piping Systems - 14373,Quote,2019-06-05,69,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2019-02-05,DESERT
69,Currier Construction,"36N 56th st
",,Phoenix,AZ,85034,SCC_14374,2019-02-05,SCC_4890,956,,Jim Tackett,Water Tank Interior,DUE ON RECEI,,,Formula for Total??,SCC_14374, ,Currier Construction - 14374,Quote,2019-06-05,70,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2019-02-19,DESERT
70,Alstate Steel,"5343 Mohave Street
",,Phoenix,AZ,85043,SCC_14375,2019-02-05,SCC_4912,956,,Chris Wallis,Handrails,,,,Formula for Total??,SCC_14375, ,Alstate Steel - 14375,Quote,2019-06-05,71,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2020-04-29,DESERT
71,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_14376,2019-02-06,SCC_4893,956,,Damian Budka,20' Tanks,NET 30,602-497-4997,,Formula for Total??,SCC_14376, ,Professional Piping Systems - 14376,Quote,2019-06-06,72,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,,DESERT
72,Currier Construction,"36N 56th st
",,Phoenix,AZ,85034,SCC_14377,2019-02-12,SCC_4890,956,,Jim Tackett,Site 110 Steel Tank,DUE ON RECEI,,,Formula for Total??,SCC_14377, ,Currier Construction - 14377,Quote,2019-06-12,73,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2019-02-13,DESERT
73,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_14378,2019-02-13,SCC_4893,956,,Damian Budka,Factory Coating WesTech HPV,NET 30,602-497-4997,,Formula for Total??,SCC_14378, ,Professional Piping Systems - 14378,Quote,2019-06-13,74,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2019-02-14,DESERT
74,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_14379,2019-02-13,SCC_4893,956,,Damian Budka,Field Coating WesTech HPV,NET 30,602-497-4997,,Formula for Total??,SCC_14379, ,Professional Piping Systems - 14379,Quote,2019-06-13,75,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,,DESERT
75,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_14380,2019-02-18,SCC_4893,956,,Tommy Thomas,Tucson Emergency,NET 30,602-497-4997,,Formula for Total??,SCC_14380, ,Professional Piping Systems - 14380,Quote,2019-06-18,76,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2019-02-19,DESERT
