,QUOTE_TO,Addr1,Addr2,City,st,Zip,QuoteNo,DateENT,E2_Customer_Key,QuotedBy,ShipVia,ContactName,InqNum,TermsCode,Phone,FAX,Total,E2_Quote_Key,RecordTypeId,Name,StageName,CloseDate,RowNum_Of_Source_File,LoadedByPython,LoadDate,Source_File,PreviousModDate,LoadForCompany
11,Whisper Rock Golf,"32000 N Old Bridge Rd
",,Scottsdale,AZ,85266,DCS_10012,2014-08-18,DCS_4673,39,,Stacy McKinley,,DUE ON RECEI,(480) 575-6414,(480) 575-6494,Formula for Total??,DCS_10012, ,Whisper Rock Golf - 10012,Quote,2014-09-17,13,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2014-08-18,DESERT
12,Magnum Engineering Inc.,"Gregory Brockman
Magnum Engineering Inc.",Magnum Engineering Inc.,,  ,,DCS_10013,2014-08-19,DCS_2652,0,,Karen,,NET 30,(602) 272-3600,(602) 272-6980,Formula for Total??,DCS_10013, ,Magnum Engineering Inc. - 10013,Quote,2014-09-18,14,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,,DESERT
13,K- Zell Metals,"1725 E. Broadway Rd.
",,Phoenix,AZ,85040,DCS_10014,2014-08-19,DCS_2313,0,,,,NET 30,(602) 232-5882,(602) 243-9705,Formula for Total??,DCS_10014, ,K- Zell Metals - 10014,Quote,2014-09-18,15,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2018-01-19,DESERT
14,Tru-stop Inc,"1725 West 10th Place
",,Tempe,AZ,85281,DCS_10015,2014-08-21,DCS_4497,0,,,,NET 30,(602) 323-9125,(602) 323-9379,Formula for Total??,DCS_10015, ,Tru-stop Inc - 10015,Quote,2014-09-20,16,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2019-09-24,DESERT
15,Metal Works Custom Fabrication,"Pete
Metal Works Custom Fabrication",Metal Works Custom Fabrication,,  ,,DCS_10017,2014-08-25,DCS_2852,0,,,,NET 30,(602) 462-1111,(602) 462-1323,Formula for Total??,DCS_10017, ,Metal Works Custom Fabrication - 10017,Quote,2014-09-24,17,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2014-08-25,DESERT
16,"K.T. Fabrication, Inc","501 E. Comstock Drive
",,Chandler,AZ,85225,DCS_10018,2014-08-25,DCS_2450,0,,,,DUE ON RECEI,(480) 497-3140,(480) 497-3158,Formula for Total??,DCS_10018, ,"K.T. Fabrication, Inc - 10018",Quote,2014-09-24,18,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2014-08-25,DESERT
17,Asher Cole/Fisherman's Warf,"1146 W. Hilton Ave
",,Phoenix,AZ,85007,DCS_10019,2014-08-26,DCS_353,0,,Ryan Perlman,Fisherman's Warf,DUE ON RECEI,602 252-7560,602-252-4365,Formula for Total??,DCS_10019, ,Asher Cole/Fisherman's Warf - 10019,Quote,2014-09-25,19,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2021-06-22,DESERT
18,Luke Air Force Base,"Mario Garcia
",,,  ,,DCS_10020,2014-08-26,DCS_2625,0,,Martin Casias,,DUE ON RECEI,623-856-5895,623-856-3331,Formula for Total??,DCS_10020, ,Luke Air Force Base - 10020,Quote,2014-09-25,20,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2015-08-12,DESERT
19,Misc T Metals,"
",,,  ,,DCS_10021,2014-08-26,DCS_3012,0,,Tabitha,,NET 30,602 300-0226,,Formula for Total??,DCS_10021, ,Misc T Metals - 10021,Quote,2014-09-25,21,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2014-08-26,DESERT
20,JD Medical,"
",,,  ,,DCS_10022,2014-08-26,DCS_1925,0,,,,DUE ON RECEI,(602) 997-1758,,Formula for Total??,DCS_10022, ,JD Medical - 10022,Quote,2014-09-25,22,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2019-10-22,DESERT
21,K- Zell Metals,"1725 E. Broadway Rd.
",,Phoenix,AZ,85040,DCS_10023,2014-08-26,DCS_2313,0,,,,NET 30,(602) 232-5882,(602) 243-9705,Formula for Total??,DCS_10023, ,K- Zell Metals - 10023,Quote,2014-09-25,23,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2018-01-19,DESERT
22,Southwest Metalsmiths,"
",,Phoenix,AZ,85044,DCS_10024,2014-08-27,DCS_4110,0,,Accounts Payable,,NET 30,(602) 438-8577,(602) 438-8579,Formula for Total??,DCS_10024, ,Southwest Metalsmiths - 10024,Quote,2014-09-26,24,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2014-11-14,DESERT
23,Custom Fence & Gates,"
",,,  ,,DCS_10025,2014-08-27,DCS_918,0,,Troy,,DUE ON RECEI,602.254.8379,,Formula for Total??,DCS_10025, ,Custom Fence & Gates - 10025,Quote,2014-09-26,25,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2014-10-29,DESERT
24,"Master-Halco, Inc.","Phoenix Warehouse
3602 W. Lower Buckeye Rd.",3602 W. Lower Buckeye Rd.,Phoenix,AZ,85009,DCS_10026,2014-08-28,DCS_2782,0,,Tim Jones,,NET 30,602-269-2493,602-269-2576,Formula for Total??,DCS_10026, ,"Master-Halco, Inc. - 10026",Quote,2014-09-27,26,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2015-02-20,DESERT
25,Skyline Steel AZ,"
",,,  ,,DCS_10027,2014-08-28,DCS_4066,0,,,,DUE ON RECEI,(480) 420-2044,,Formula for Total??,DCS_10027, ,Skyline Steel AZ - 10027,Quote,2014-09-27,27,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2014-08-28,DESERT
26,Glendale Steel Supply,"5743 W. Bethany Home Rd.
",,Glendale,AZ,85311,DCS_10028,2014-09-02,DCS_1544,0,,,,NET 30,(623) 937-5290,(623) 937-9248,Formula for Total??,DCS_10028, ,Glendale Steel Supply - 10028,Quote,2014-10-02,28,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2014-09-11,DESERT
27,Tru-stop Inc,"1725 West 10th Place
",,Tempe,AZ,85281,DCS_10029,2014-09-02,DCS_4497,0,,,,NET 30,(602) 323-9125,(602) 323-9379,Formula for Total??,DCS_10029, ,Tru-stop Inc - 10029,Quote,2014-10-02,29,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2019-09-24,DESERT
28,The 500 Club,"
",,,  ,,DCS_10030,2014-09-03,DCS_4328,0,,,,DUE ON RECEI,(623) 492-9500,,Formula for Total??,DCS_10030, ,The 500 Club - 10030,Quote,2014-10-03,30,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2014-10-06,DESERT
29,Southwest Metalsmiths,"5026 E. Beverly Rd
",,Phownix,AZ,85044,DCS_10031,2014-09-03,DCS_4110,0,,,,NET 30,602.438.8577,602.438.8579,Formula for Total??,DCS_10031, ,Southwest Metalsmiths - 10031,Quote,2014-10-03,31,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2014-09-30,DESERT
30,Denali Metal Works,"450 E. Pima Street, #2
",,Phoenix,AZ,85004,DCS_10032,2014-09-04,DCS_1073,0,,,,DUE ON RECEI,(602) 606-7658,(602) 606-7517,Formula for Total??,DCS_10032, ,Denali Metal Works - 10032,Quote,2014-10-04,32,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2014-09-04,DESERT
31,Southwest Metalsmiths,"5026 E. Beverly Rd
",,Phownix,AZ,85044,DCS_10033,2014-09-04,DCS_4110,0,,,,NET 30,602.438.8577,602.438.8579,Formula for Total??,DCS_10033, ,Southwest Metalsmiths - 10033,Quote,2014-10-04,33,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,,DESERT
32,Southwest Metalsmiths,"5026 E. Beverly Rd
",,Phownix,AZ,85044,DCS_10034,2014-09-05,DCS_4110,0,,,,NET 30,602.438.8577,602.438.8579,Formula for Total??,DCS_10034, ,Southwest Metalsmiths - 10034,Quote,2014-10-05,34,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2014-09-22,DESERT
33,"Ducts, Inc.","5162 W. Van Buren
",,Phoenix,AZ,85043,DCS_10035,2014-09-08,DCS_1174,0,,,,NET 30,(602) 233-2980,(602) 233-2983,Formula for Total??,DCS_10035, ,"Ducts, Inc. - 10035",Quote,2014-10-08,35,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2014-09-08,DESERT
34,Blooming Desert,"
",,,  ,,DCS_10036,2014-09-08,DCS_523,0,,,,DUE ON RECEI,(480) 756-9100,(480) 756-9191,Formula for Total??,DCS_10036, ,Blooming Desert - 10036,Quote,2014-10-08,36,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,,DESERT
35,Super Radiator Coils,"2610 S. 21st Street
",,Phoenix,AZ,85034,DCS_10037,2014-09-08,DCS_4259,0,,Dynasty Carrillo,Petronas Canon Schools,NET 30,602-257-9708,602-257-0472,Formula for Total??,DCS_10037, ,Super Radiator Coils - 10037,Quote,2014-10-08,37,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2019-09-24,DESERT
36,Eaglewings Iron Craft,"1522 E. Victory #1
",,Phoenix,AZ,85040,DCS_10038,2014-09-08,DCS_1192,0,,,,DUE ON RECEI,(602) 276-8101,(602) 276-8194,Formula for Total??,DCS_10038, ,Eaglewings Iron Craft - 10038,Quote,2014-10-08,38,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2019-09-24,DESERT
37,Super Radiator Coils,"2610 S. 21st Street
",,Phoenix,AZ,85034,DCS_10039,2014-09-08,DCS_4259,39,,Israel Young,,NET 30,602-257-9708,602-257-0472,Formula for Total??,DCS_10039, ,Super Radiator Coils - 10039,Quote,2014-10-08,39,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2019-09-24,DESERT
38,"K.T. Fabrication, Inc","501 E. Comstock Drive
",,Chandler,AZ,85225,DCS_10040,2014-09-08,DCS_2450,0,,,,DUE ON RECEI,(480) 497-3140,(480) 497-3158,Formula for Total??,DCS_10040, ,"K.T. Fabrication, Inc - 10040",Quote,2014-10-08,40,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,,DESERT
39,Whisper Rock Golf,"
",,,  ,,DCS_10041,2014-09-09,DCS_4673,0,,,,DUE ON RECEI,(480) 575-6414,(480) 575-6494,Formula for Total??,DCS_10041, ,Whisper Rock Golf - 10041,Quote,2014-10-09,41,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2014-09-19,DESERT
40,Roger's Mobile,"3010 W. Lincoln St.
",,Phoenix,AZ,85009,DCS_10042,2014-09-10,DCS_3688,0,,,,NET 30,(602) 323-0330,(602) 323-0333,Formula for Total??,DCS_10042, ,Roger's Mobile - 10042,Quote,2014-10-10,42,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2014-09-10,DESERT
41,Trw Steel,"3137 W. Lincoln
",,Phoenix,AZ,85009,DCS_10043,2014-09-11,DCS_4498,0,,,,DUE ON RECEI,(602) 269-1755,(602) 278-1809,Formula for Total??,DCS_10043, ,Trw Steel - 10043,Quote,2014-10-11,43,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,,DESERT
42,Stan Gerstenschlager,"
",,,  ,,DCS_10045,2014-09-11,DCS_1772,0,,,,DUE ON RECEI,(602) 292-5049,,Formula for Total??,DCS_10045, ,Stan Gerstenschlager - 10045,Quote,2014-10-11,44,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,,DESERT
43,Rickabugh,"
",,,  ,,DCS_10046,2014-09-11,DCS_3660,0,,Joel,,DUE ON RECEI,602-283-0152,,Formula for Total??,DCS_10046, ,Rickabugh - 10046,Quote,2014-10-11,45,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,,DESERT
44,Saguaro Steel,"
",,,  ,,DCS_10047,2014-09-11,DCS_3876,0,,,,NET 30,(602) 272-8811,(602) 272-3453,Formula for Total??,DCS_10047, ,Saguaro Steel - 10047,Quote,2014-10-11,46,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2014-09-11,DESERT
45,Fairlane,"
",,,  ,,DCS_10048,2014-09-11,DCS_1342,0,,JR Gonzales,,DUE ON RECEI,602-885-3777,602-254-5501,Formula for Total??,DCS_10048, ,Fairlane - 10048,Quote,2014-10-11,47,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2014-09-17,DESERT
46,Cold As Steel,"
",,Cold,  ,,DCS_10049,2014-09-11,DCS_840,0,,Ray Hopf,,DUE ON RECEI,602-738-8805,623-572-4445,Formula for Total??,DCS_10049, ,Cold As Steel - 10049,Quote,2014-10-11,48,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2019-09-24,DESERT
47,Fairlane,"
",,,  ,,DCS_10050,2014-09-12,DCS_1342,0,,JR Gonzales,,DUE ON RECEI,602-885-3777,602-254-5501,Formula for Total??,DCS_10050, ,Fairlane - 10050,Quote,2014-10-12,49,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2014-09-17,DESERT
48,IMG Precision,"
",,,  ,,DCS_10051,2014-09-12,DCS_1745,0,,,,DUE ON RECEI,(925) 273-0769,,Formula for Total??,DCS_10051, ,IMG Precision - 10051,Quote,2014-10-12,50,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2019-10-22,DESERT
49,Rob Lacugnato,"
",,,  ,,DCS_10052,2014-09-15,DCS_3697,39,,,,,,,Formula for Total??,DCS_10052, ,Rob Lacugnato - 10052,Quote,2014-10-15,51,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2014-09-26,DESERT
50,Saguaro Steel,"
",,,  ,,DCS_10053,2014-09-16,DCS_3876,0,,,,NET 30,(602) 272-8811,(602) 272-3453,Formula for Total??,DCS_10053, ,Saguaro Steel - 10053,Quote,2014-10-16,52,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2014-09-16,DESERT
51,Fry Reglet,"12342 Hawkins St.
P.o. Box 2546",P.o. Box 2546,Santa Fe Springs,CA,90670,DCS_10054,2014-09-16,DCS_1452,39,,Fry Reglet,,NET 30,800-955-2343,,Formula for Total??,DCS_10054, ,Fry Reglet - 10054,Quote,2014-10-16,53,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,,DESERT
52,Ashercole,"1146 W. Hilton Ave
",,Phoenix,AZ,85007,DCS_10055,2014-09-17,DCS_353,39,,Ryan Perlman,,DUE ON RECEI,602 252-7560,602-252-4365,Formula for Total??,DCS_10055, ,Ashercole - 10055,Quote,2014-10-17,54,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2021-06-22,DESERT
53,Southwest Metalsmiths,"5026 E. Beverly Rd
",,Phownix,AZ,85044,DCS_10058,2014-09-23,DCS_4110,39,,,,NET 30,602.438.8577,602.438.8579,Formula for Total??,DCS_10058, ,Southwest Metalsmiths - 10058,Quote,2014-10-23,55,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2014-09-23,DESERT
54,Argus Customs,"
",,,  ,,DCS_10059,2014-09-23,DCS_287,39,,,,DUE ON RECEI,,,Formula for Total??,DCS_10059, ,Argus Customs - 10059,Quote,2014-10-23,56,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2019-09-24,DESERT
55,Allred Metal Products,"
",,,  ,,DCS_10060,2014-09-23,DCS_185,39,,,,DUE ON RECEI,,,Formula for Total??,DCS_10060, ,Allred Metal Products - 10060,Quote,2014-10-23,57,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2014-09-23,DESERT
56,Skyce Steel Co.,"745 N. Gilbert Rd
Suite 124-363",Suite 124-363,Gilbert,AZ,85234,DCS_10061,2014-09-23,DCS_4063,39,,,,DUE ON RECEI,(602) 237-1085,(602) 237-3332,Formula for Total??,DCS_10061, ,Skyce Steel Co. - 10061,Quote,2014-10-23,58,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2014-09-23,DESERT
57,Southwest Metalsmiths,"5026 E. Beverly Rd
",,Phownix,AZ,85044,DCS_10063,2014-09-24,DCS_4110,39,,,,NET 30,602.438.8577,602.438.8579,Formula for Total??,DCS_10063, ,Southwest Metalsmiths - 10063,Quote,2014-10-24,59,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,,DESERT
58,Tru-stop Inc,"1725 West 10th Place
",,Tempe,AZ,85281,DCS_10064,2014-09-25,DCS_4497,39,,,,NET 30,(602) 323-9125,(602) 323-9379,Formula for Total??,DCS_10064, ,Tru-stop Inc - 10064,Quote,2014-10-25,60,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2019-09-24,DESERT
59,Signs By Tomorrow,"
",,,  ,,DCS_10065,2014-09-26,DCS_4047,39,,,,DUE ON RECEI,(602) 494-3383,(602) 494-3387,Formula for Total??,DCS_10065, ,Signs By Tomorrow - 10065,Quote,2014-10-26,61,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2014-09-26,DESERT
60,Metal Works Custom Fabrication,"Pete
Metal Works Custom Fabrication",Metal Works Custom Fabrication,,  ,,DCS_10069,2014-09-29,DCS_2852,39,,,,NET 30,(602) 462-1111,(602) 462-1323,Formula for Total??,DCS_10069, ,Metal Works Custom Fabrication - 10069,Quote,2014-10-29,62,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,,DESERT
61,Tru-stop Inc,"1725 West 10th Place
",,Tempe,AZ,85281,DCS_10070,2014-09-30,DCS_4497,39,,,,NET 30,(602) 323-9125,(602) 323-9379,Formula for Total??,DCS_10070, ,Tru-stop Inc - 10070,Quote,2014-10-30,63,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2019-09-24,DESERT
62,Southwest Metalsmiths,"5026 E. Beverly Rd
",,Phownix,AZ,85044,DCS_10071,2014-09-30,DCS_4110,39,,,,NET 30,602.438.8577,602.438.8579,Formula for Total??,DCS_10071, ,Southwest Metalsmiths - 10071,Quote,2014-10-30,64,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,,DESERT
63,U-haul,"Amform/u-haul
4646 W. Pasadena Ave",4646 W. Pasadena Ave,Glendale,AZ,85301,DCS_10072,2014-10-02,DCS_1543,39,,,,NET 30,623-930-0445,623-930-1470,Formula for Total??,DCS_10072, ,U-haul - 10072,Quote,2014-11-01,65,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2021-12-03,DESERT
64,Southwest Metalsmiths,"5026 E. Beverly Rd
",,Phownix,AZ,85044,DCS_10073,2014-10-02,DCS_4110,39,,,,NET 30,602.438.8577,602.438.8579,Formula for Total??,DCS_10073, ,Southwest Metalsmiths - 10073,Quote,2014-11-01,66,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2015-01-27,DESERT
65,Southwest Metalsmiths,"5026 E. Beverly Rd
",,Phownix,AZ,85044,DCS_10074,2014-10-02,DCS_4110,39,,,,NET 30,602.438.8577,602.438.8579,Formula for Total??,DCS_10074, ,Southwest Metalsmiths - 10074,Quote,2014-11-01,67,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2014-12-16,DESERT
66,Signs of the Times,"
",,,  ,,DCS_10075,2014-10-06,DCS_4042,39,,,,DUE ON RECEI,(623) 385-1326,,Formula for Total??,DCS_10075, ,Signs of the Times - 10075,Quote,2014-11-05,68,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,,DESERT
67,Metal Works Custom Fabrication,"Pete
Metal Works Custom Fabrication",Metal Works Custom Fabrication,,  ,,DCS_10077,2014-10-06,DCS_2852,39,,,,NET 30,(602) 462-1111,(602) 462-1323,Formula for Total??,DCS_10077, ,Metal Works Custom Fabrication - 10077,Quote,2014-11-05,69,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,,DESERT
68,Skyce Steel Co.,"745 N. Gilbert Rd
Suite 124-363",Suite 124-363,Gilbert,AZ,85234,DCS_10078,2014-10-07,DCS_4063,39,,,,DUE ON RECEI,(602) 237-1085,(602) 237-3332,Formula for Total??,DCS_10078, ,Skyce Steel Co. - 10078,Quote,2014-11-06,70,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2014-10-07,DESERT
69,Metal-weld Specialties,"8137 N. 83rd Ave
",,Peoria,AZ,85345,DCS_10079,2014-10-07,DCS_2853,39,,,,NET 30,(623) 979-1117,(623) 979-9722,Formula for Total??,DCS_10079, ,Metal-weld Specialties - 10079,Quote,2014-11-06,71,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2019-09-24,DESERT
70,Copperstate Construction SVCS,"2915 N Norfolk
",,Mesa,AZ,85215,DCS_10082,2014-10-08,DCS_870,39,,,,NET 30,(480) 751-6388,(480) 751-6298,Formula for Total??,DCS_10082, ,Copperstate Construction SVCS - 10082,Quote,2014-11-07,72,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2014-10-08,DESERT
71,"Metal Masters Mechanical, Llc","3308 E. Madison Street
",,Phoenix,AZ,85034,DCS_10083,2014-10-09,DCS_2847,39,,,,NET 30,602-492-9400,602-275-2903,Formula for Total??,DCS_10083, ,"Metal Masters Mechanical, Llc - 10083",Quote,2014-11-08,73,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,,DESERT
72,JV Driver Fabricators Inc,"1945 West Broadway Road
",,Phoenix,AZ,85041,DCS_10084,2014-10-09,DCS_2308,39,,,,DUE ON RECEI,(602) 288-1471,,Formula for Total??,DCS_10084, ,JV Driver Fabricators Inc - 10084,Quote,2014-11-08,74,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,,DESERT
73,Leonard Bachan,"2515 E Solano
",,Phoenix,AZ,85016,DCS_10085,2014-10-10,DCS_2526,39,,,,DUE ON RECEI,(602) 284-0060,,Formula for Total??,DCS_10085, ,Leonard Bachan - 10085,Quote,2014-11-09,75,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2014-10-10,DESERT
74,Bryan Curley,"
",,,  ,,DCS_10086,2014-10-13,DCS_617,39,,,,DUE ON RECEI,(602) 570-4721,,Formula for Total??,DCS_10086, ,Bryan Curley - 10086,Quote,2014-11-12,76,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2014-10-22,DESERT
75,Ashercole,"1146 W. Hilton Ave
",,Phoenix,AZ,85007,DCS_10087,2014-10-13,DCS_353,39,,Ryan Perlman,,DUE ON RECEI,602 252-7560,602-252-4365,Formula for Total??,DCS_10087, ,Ashercole - 10087,Quote,2014-11-12,77,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2021-06-22,DESERT
76,"K.T. Fabrication, Inc","501 E. Comstock Drive
",,Chandler,AZ,85225,DCS_10088,2014-10-14,DCS_2450,39,,,,DUE ON RECEI,(480) 497-3140,(480) 497-3158,Formula for Total??,DCS_10088, ,"K.T. Fabrication, Inc - 10088",Quote,2014-11-13,78,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,,DESERT
77,Columbus Chemical,"
",,,  ,,DCS_10090,2014-10-15,DCS_5426,39,,,,DUE ON RECEI,(602) 743-0525,,Formula for Total??,DCS_10090, ,Columbus Chemical - 10090,Quote,2014-11-14,79,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2019-11-13,DESERT
78,Interior Design & Display,"
",,,  ,,DCS_10091,2014-10-15,DCS_1772,39,,,,DUE ON RECEI,(602) 292-5049,,Formula for Total??,DCS_10091, ,Interior Design & Display - 10091,Quote,2014-11-14,80,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2014-10-27,DESERT
79,Metal-weld Specialties,"8137 N. 83rd Ave
",,Peoria,AZ,85345,DCS_10092,2014-10-15,DCS_2853,39,,,,NET 30,(623) 979-1117,(623) 979-9722,Formula for Total??,DCS_10092, ,Metal-weld Specialties - 10092,Quote,2014-11-14,81,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2019-09-24,DESERT
80,Merchant Metals,"900 Ashwood Pkwy Suite #600
",,Atlanta,GA,30338,DCS_10093,2014-10-16,DCS_2842,39,,Charlene Jablonski,,NET 45,6235831060,8775090476,Formula for Total??,DCS_10093, ,Merchant Metals - 10093,Quote,2014-11-15,82,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,,DESERT
